,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
598,germ cell tumor,10,CD5:T,2,8,4699.08,5617.77,5158.425,421995.65805
599,germ cell tumor,10,CD56:T,5,5,-39.32,26.46,-3.808,1013.87917
600,germ cell tumor,10,CD56+IgK:T,4,6,21.7,108.38,72.7175,1847.72509167
601,germ cell tumor,10,CD57:T,0,10,,,0.0,0.0
602,germ cell tumor,10,CD58:T,0,10,,,0.0,0.0
603,germ cell tumor,10,CD7:T,0,10,,,0.0,0.0
604,germ cell tumor,10,CD71:T,0,10,,,0.0,0.0
605,germ cell tumor,10,CD8:T,0,10,,,0.0,0.0
606,germ cell tumor,10,CD8+IgL:T,4,6,75.67,3365.93,1438.1375,2586630.31689
607,germ cell tumor,10,CD81:T,0,10,,,0.0,0.0
608,germ cell tumor,10,CD8-CD99:T,4,6,273.03,599.33,398.295,19700.4807
609,germ cell tumor,10,CD9:T,0,10,,,0.0,0.0
610,germ cell tumor,10,CD90:T,0,10,,,0.0,0.0
611,germ cell tumor,10,CD99:T,0,10,,,0.0,0.0
612,germ cell tumor,10,cyCD3:T,0,10,,,0.0,0.0
613,germ cell tumor,10,cyCD3+CD19:T,4,6,-178.35,4091.05,2100.8475,3190347.73043
614,germ cell tumor,10,cyCD79a:T,0,10,,,0.0,0.0
615,germ cell tumor,10,EPCAM:T,0,10,,,0.0,0.0
616,germ cell tumor,10,Epcam+CD4:T,4,6,154.21,1560.8,762.115,507958.762967
617,germ cell tumor,10,FSC-A:T,8,2,71377.2,107248.97,89228.99375,147180752.314
618,germ cell tumor,10,FSC-H:T,7,3,59971.0,91133.5,77821.5,108415095.583
619,germ cell tumor,10,GD2:T,4,6,50.79,3181.2,900.3775,2318821.43516
620,germ cell tumor,10,HLADR:T,0,10,,,0.0,0.0
621,germ cell tumor,10,MPO:T,0,10,,,0.0,0.0
622,germ cell tumor,10,nuMIOGENIN:T,4,6,62.3,177.99,109.85,2866.1458
623,germ cell tumor,10,nuMYOD:T,0,10,,,0.0,0.0
624,germ cell tumor,10,OCT3/4:T,0,10,,,0.0,0.0
625,germ cell tumor,10,SSC-A:T,8,2,5901.12,16175.52,9377.64375,12420983.29
626,germ cell tumor,10,SSC-H:T,2,8,4950.0,6106.0,5528.0,668168.0
